N,P,K,temperature,humidity,ph,rainfall,label
89.57,50.49,47.65,27.39,86.91,6.16,255.97,Rice
44.57,52.27,37.66,36.47,65.3,7.24,61.37,Sesame
104.29,29.15,43.95,31.54,85.59,6.42,167.02,Sugarcane
18.89,64.18,26.53,30.92,66.15,6.74,170.3,Pigeonpea
64.43,39.19,45.7,27.39,70.76,5.88,63.66,Maize
65.16,74.89,193.67,24.75,87.08,5.55,137.26,Turmeric
89.1,83.87,46.77,30.56,84.01,6.01,134.9,Banana
122.06,57.27,23.94,30.92,70.79,6.62,64.55,Cotton
100.38,27.05,39.38,20.71,71.74,6.0,150.72,Coffee
23.45,56.92,24.58,33.49,57.52,6.89,74.17,Groundnut
40.72,59.33,47.95,30.62,87.3,6.1,141.63,Papaya
38.31,67.01,45.66,35.54,86.63,6.96,159.12,Papaya
48.77,69.74,72.57,23.52,32.93,6.17,88.51,Chickpea
92.86,58.87,57.86,22.97,83.6,5.74,224.15,Rice
97.65,93.84,50.75,23.08,83.16,5.44,164.44,Banana
45.98,32.52,32.32,26.92,62.99,6.98,85.89,Sesame
80.09,28.69,35.84,29.74,62.56,6.25,70.59,Millet
30.17,18.18,32.91,29.61,48.19,7.42,98.6,Mango
34.44,22.85,42.28,27.48,59.16,6.97,102.28,Mango
114.69,85.78,51.39,32.74,74.55,6.51,169.16,Banana
29.86,53.0,20.9,29.31,72.34,5.9,126.42,Pigeonpea
71.26,62.6,207.48,24.24,86.57,6.28,161.8,Turmeric
109.78,27.67,34.2,32.4,69.69,6.51,203.98,Sugarcane
54.32,56.8,49.53,31.77,85.85,6.22,137.56,Papaya
30.29,7.7,47.75,33.72,27.78,7.27,45.36,Pomegranate
10.66,73.69,21.56,28.9,73.04,7.3,84.9,Blackgram
74.37,48.6,42.71,30.12,67.59,6.69,101.64,Maize
32.06,23.08,48.7,32.28,78.51,6.45,134.4,Coconut
40.3,58.91,20.35,31.44,59.17,5.98,96.88,Groundnut
110.52,78.55,52.66,29.52,88.73,6.43,161.68,Banana
77.64,32.52,38.01,33.24,77.99,6.41,209.76,Sugarcane
55.38,61.59,193.81,22.04,87.58,5.82,191.86,Turmeric
73.22,40.73,44.82,34.35,53.47,5.79,80.96,Tapioca
103.14,59.99,55.65,30.31,58.58,6.69,79.31,Chilli
81.53,26.62,54.85,25.74,89.41,5.86,194.94,Cardamom
26.74,50.03,23.59,30.96,72.63,5.69,91.75,Groundnut
30.02,25.81,29.16,33.45,53.52,6.87,78.08,Mango
21.19,9.97,30.11,29.75,35.47,6.73,78.21,Pomegranate
60.31,56.69,202.87,29.26,88.65,6.1,214.2,Turmeric
64.84,62.93,203.66,21.5,89.28,5.64,147.58,Turmeric
130.19,68.27,44.74,34.85,66.28,6.74,85.83,Chilli
29.95,54.18,11.35,26.22,63.85,6.35,103.62,Groundnut
112.35,53.58,43.51,25.44,71.36,7.05,107.81,Chilli
53.57,43.55,24.59,24.69,58.75,7.51,39.32,Millet
108.7,38.3,25.67,24.91,73.43,7.33,142.25,Sugarcane
98.3,92.96,60.22,25.27,81.38,5.67,110.89,Banana
52.48,62.23,36.83,31.94,91.02,5.64,260.21,Rice
18.84,24.94,27.09,28.78,57.53,5.97,78.13,Mango
30.56,44.41,29.35,27.79,60.15,7.44,67.49,Sesame
25.96,64.04,23.3,28.84,71.15,7.28,46.37,Greengram
47.0,53.63,208.51,28.17,84.08,5.96,199.44,Turmeric
63.13,60.91,203.89,23.99,72.67,6.22,226.49,Turmeric
67.21,38.0,20.18,32.28,59.56,6.08,68.88,Sorghum
36.67,62.13,28.96,28.09,69.59,6.36,95.33,Blackgram
136.39,53.85,24.27,27.54,62.96,7.77,96.63,Cotton
54.37,54.83,207.84,29.44,85.1,6.65,151.91,Turmeric
116.87,89.84,44.62,23.58,82.39,6.17,182.0,Banana
58.13,43.57,33.56,35.68,46.06,5.9,43.11,Millet
21.86,24.62,38.33,26.26,41.8,7.57,47.47,Pomegranate
66.94,26.27,46.15,30.91,59.5,5.54,104.35,Tapioca
20.36,9.18,30.67,28.65,39.29,6.78,50.45,Pomegranate
85.62,21.46,20.41,31.8,45.68,7.44,83.85,Sorghum
61.3,43.68,53.22,27.99,66.59,5.98,110.81,Tapioca
102.94,37.0,46.79,25.05,69.05,6.73,195.92,Sugarcane
74.0,39.17,28.42,29.82,57.3,6.11,79.31,Millet
77.91,28.98,43.03,32.52,87.99,7.13,168.7,Sugarcane
110.99,30.8,33.97,23.48,72.62,6.04,166.56,Coffee
78.19,49.0,31.33,24.28,73.66,5.48,84.02,Maize
47.37,59.02,78.25,24.75,16.74,7.37,90.69,Chickpea
69.31,28.85,26.35,34.25,56.18,6.22,49.46,Millet
57.78,56.21,60.72,31.31,88.85,5.94,187.12,Papaya
33.24,63.28,30.11,30.71,58.16,6.8,122.74,Pigeonpea
85.37,12.52,37.98,22.8,53.77,6.34,189.78,Coffee
88.84,26.33,32.89,20.13,78.87,5.48,144.1,Coffee
119.91,38.81,19.56,33.69,66.61,6.27,103.14,Cotton
55.16,30.84,31.48,31.22,45.8,7.56,83.0,Sorghum
78.5,39.29,52.69,31.06,63.8,5.7,109.79,Tapioca
50.9,64.65,78.5,24.26,20.9,6.03,86.86,Chickpea
17.46,66.67,21.35,34.86,75.61,5.52,109.8,Groundnut
120.51,60.92,49.55,27.82,58.47,7.42,47.38,Chilli
112.56,28.58,35.52,25.7,82.49,7.46,193.6,Sugarcane
47.67,60.55,71.97,19.66,24.62,6.91,86.63,Chickpea
29.57,63.2,73.7,27.73,22.55,7.12,66.77,Chickpea
39.2,62.7,19.91,27.51,63.27,7.44,95.45,Blackgram
90.96,23.8,32.8,22.91,63.46,6.34,197.55,Coffee
52.49,28.44,32.03,30.81,68.77,6.57,65.99,Sesame
10.29,61.17,28.45,28.28,71.35,7.72,61.26,Greengram
61.03,61.69,193.75,24.73,81.58,5.67,174.61,Turmeric
20.53,61.79,14.85,28.74,72.15,6.42,39.39,Greengram
35.83,61.04,14.32,26.75,57.82,6.93,104.4,Greengram
41.24,66.67,53.8,31.85,81.47,6.45,157.37,Papaya
19.34,60.7,24.69,34.04,62.55,6.3,53.95,Greengram
44.54,42.09,37.92,30.49,54.88,5.47,60.36,Sesame
47.1,54.13,196.26,21.79,78.66,5.97,157.9,Turmeric
24.28,16.05,39.11,32.29,82.79,6.92,113.52,Coconut
113.76,44.36,12.49,31.17,81.85,5.85,64.19,Cotton
67.7,47.91,39.71,26.03,58.85,6.0,52.84,Maize
80.81,40.13,34.79,26.2,62.16,7.84,78.23,Millet
123.08,58.09,47.15,35.44,69.25,7.23,74.06,Chilli
81.91,42.02,40.22,26.09,84.62,7.73,194.78,Sugarcane
117.91,53.24,43.77,24.51,59.77,7.17,72.44,Chilli
45.04,61.83,56.26,28.63,89.64,6.61,144.55,Papaya
66.28,37.76,53.69,29.41,87.12,6.88,275.89,Rice
37.01,61.27,11.69,33.46,71.47,7.31,58.84,Blackgram
30.75,69.81,22.82,31.57,66.88,7.16,65.36,Blackgram
44.34,69.37,84.06,19.09,21.11,7.12,53.79,Chickpea
39.08,36.64,23.52,33.01,68.14,6.44,97.98,Groundnut
56.23,65.78,53.24,29.11,78.49,6.26,154.07,Papaya
113.79,57.09,47.52,29.45,66.95,6.92,48.2,Chilli
11.69,63.15,20.86,28.73,54.23,6.19,123.62,Pigeonpea
75.01,32.08,41.64,31.22,70.69,6.97,108.74,Tapioca
86.16,38.09,47.83,26.64,73.29,6.13,167.3,Sugarcane
65.79,37.82,45.98,27.63,65.47,6.02,102.2,Tapioca
77.48,50.8,54.33,25.67,56.89,6.35,114.12,Tapioca
16.33,26.51,34.74,31.74,81.48,6.89,116.96,Coconut
58.49,38.92,25.57,32.87,51.04,6.42,45.36,Millet
82.85,29.79,23.33,28.33,49.26,7.04,60.9,Millet
35.68,23.7,27.25,30.54,49.43,6.61,134.14,Mango
63.71,30.03,22.6,29.84,54.94,7.15,52.72,Millet
70.25,40.09,50.97,24.1,83.16,5.62,225.93,Rice
79.1,29.38,38.32,25.38,77.71,5.92,209.15,Sugarcane
69.08,56.28,48.95,23.24,82.31,5.94,213.3,Rice
98.59,75.3,56.27,23.65,82.06,5.54,109.53,Banana
60.65,29.41,35.15,25.31,61.41,6.43,42.24,Millet
16.27,22.1,38.08,36.96,57.18,6.86,101.81,Mango
88.66,49.64,43.2,22.7,88.24,6.14,185.58,Rice
35.29,52.17,25.52,32.77,63.53,6.67,57.52,Sesame
26.35,41.31,29.29,28.04,51.37,6.76,89.88,Sesame
36.54,55.15,25.88,36.11,53.64,6.95,88.29,Sesame
27.65,27.68,26.8,27.83,57.54,5.68,81.73,Mango
114.15,56.86,17.28,31.32,72.1,6.48,74.11,Cotton
61.2,55.63,52.92,23.13,63.48,7.2,75.23,Maize
69.38,23.58,52.03,20.53,87.92,5.3,271.8,Cardamom
63.61,50.17,51.93,30.33,79.08,6.83,226.31,Rice
82.44,29.63,50.88,15.4,87.58,5.5,259.02,Cardamom
128.45,54.26,27.04,25.79,76.49,6.4,101.8,Cotton
84.05,85.7,54.7,28.78,80.15,6.96,153.08,Banana
30.03,21.26,27.57,31.26,55.13,5.67,151.07,Mango
9.69,22.73,28.11,30.78,79.88,5.73,123.45,Coconut
51.27,61.07,78.94,20.1,28.0,6.04,73.92,Chickpea
61.52,28.09,46.33,25.83,75.51,5.39,235.19,Cardamom
75.16,19.77,45.94,15.97,83.48,6.23,263.69,Cardamom
115.56,68.87,44.47,25.65,65.3,6.2,50.02,Chilli
61.12,27.87,51.01,25.8,69.3,5.2,214.98,Cardamom
78.65,27.14,52.76,23.61,78.08,5.58,212.54,Cardamom
29.23,54.06,34.32,33.78,59.91,5.83,50.15,Sesame
92.63,68.87,47.53,26.33,87.76,5.49,129.26,Banana
74.03,22.5,49.5,17.59,83.22,5.78,262.95,Cardamom
108.36,77.39,49.03,25.63,76.85,6.53,124.83,Banana
62.25,33.37,40.41,33.53,67.57,5.28,85.08,Tapioca
18.62,26.0,43.35,37.24,60.24,6.3,143.92,Mango
83.77,53.5,35.73,24.87,68.61,5.71,76.08,Maize
80.27,34.72,52.01,17.25,91.15,6.35,252.46,Cardamom
53.61,53.02,32.35,32.8,64.7,6.3,75.4,Sesame
86.89,34.79,48.8,24.03,68.27,6.39,70.4,Maize
102.73,26.6,35.86,17.71,82.19,6.22,201.83,Coffee
83.13,27.52,36.13,25.2,70.81,6.19,163.17,Coffee
110.69,59.9,42.09,24.51,67.82,7.19,68.3,Chilli
85.63,22.16,42.43,17.16,74.7,5.36,294.67,Cardamom
115.65,64.99,52.23,28.94,71.0,6.76,57.03,Chilli
71.9,43.06,53.72,27.19,90.41,6.82,254.09,Rice
73.05,20.22,53.16,16.61,79.86,5.22,189.84,Cardamom
33.32,46.05,32.51,32.53,69.84,6.08,61.99,Sesame
86.8,22.66,49.41,17.36,78.15,6.47,231.24,Cardamom
32.13,66.33,17.76,30.92,65.04,6.22,105.92,Blackgram
26.47,56.02,28.87,27.59,56.97,6.44,113.87,Groundnut
64.86,45.64,54.35,29.46,55.97,6.52,125.34,Tapioca
52.85,32.11,31.81,32.25,42.54,7.59,86.94,Sorghum
69.77,33.82,31.73,33.5,59.91,7.21,40.1,Sorghum
122.09,58.8,58.14,26.37,64.21,6.39,91.1,Chilli
119.15,57.86,23.58,36.16,76.35,6.96,53.18,Cotton
26.05,70.89,21.08,31.48,70.69,6.08,119.67,Pigeonpea
73.91,22.08,49.48,20.12,80.29,5.46,266.21,Cardamom
17.13,60.83,19.29,29.88,70.93,6.0,82.26,Greengram
135.71,39.25,27.12,30.38,61.01,6.51,84.07,Cotton
29.83,69.33,24.01,33.04,61.33,5.71,155.84,Pigeonpea
23.81,18.08,34.04,35.05,43.85,5.74,124.27,Mango
117.63,50.78,19.47,27.25,65.68,7.52,95.45,Cotton
58.69,56.84,47.27,28.03,79.29,6.47,154.64,Papaya
11.94,19.48,23.42,37.4,54.08,7.4,128.25,Mango
30.24,24.72,32.44,28.12,50.13,7.38,104.7,Mango
76.63,22.47,30.08,27.6,81.57,7.0,185.23,Sugarcane
12.26,70.02,19.19,26.79,78.73,6.09,105.59,Blackgram
42.92,54.39,49.75,33.09,81.8,6.89,150.64,Papaya
40.99,65.13,44.3,33.04,91.02,6.88,191.38,Papaya
23.94,75.22,16.34,33.36,68.73,7.0,78.56,Blackgram
68.88,35.95,36.07,32.68,76.13,6.51,231.02,Rice
19.62,66.97,23.86,35.79,64.73,7.13,111.35,Blackgram
102.51,89.48,46.75,29.2,85.48,6.53,152.55,Banana
15.49,66.09,15.56,31.03,56.83,5.98,137.88,Pigeonpea
92.37,27.06,44.24,20.58,76.19,5.48,133.96,Coffee
124.63,60.43,44.91,34.44,64.19,6.97,66.63,Chilli
36.81,72.7,21.59,34.53,71.1,7.09,69.28,Blackgram
75.39,36.0,30.07,33.39,45.31,6.27,90.81,Sorghum
26.84,50.59,26.88,34.21,52.98,6.73,75.37,Greengram
100.14,38.24,48.71,27.25,74.38,6.25,101.07,Maize
111.04,55.11,20.54,27.35,70.53,7.29,84.52,Cotton
43.7,51.17,28.84,37.63,50.42,6.44,82.64,Sesame
99.3,19.57,33.14,27.39,61.0,5.59,171.71,Coffee
45.86,55.47,26.53,29.64,70.39,6.9,45.0,Sesame
78.03,33.91,25.1,32.06,56.66,6.7,63.86,Millet
22.62,13.66,33.57,28.98,91.15,6.06,167.6,Coconut
17.52,68.51,19.06,25.93,60.56,6.11,117.96,Pigeonpea
123.83,53.96,16.08,28.73,72.86,6.43,107.29,Cotton
53.5,23.73,28.93,30.69,46.18,6.83,54.27,Sorghum
16.06,63.91,24.32,33.13,77.11,6.28,113.9,Blackgram
18.33,20.87,32.61,24.52,36.39,6.52,54.95,Pomegranate
68.06,41.94,46.21,28.7,65.07,5.94,70.75,Maize
88.54,30.56,33.62,21.69,70.16,6.65,141.63,Coffee
21.08,13.41,39.3,34.37,33.04,7.06,68.02,Pomegranate
32.51,63.07,19.97,34.27,53.88,6.92,177.85,Pigeonpea
19.18,66.51,18.22,30.12,58.94,6.09,76.08,Greengram
24.47,7.89,47.21,23.86,48.67,7.25,49.37,Pomegranate
134.01,46.39,24.09,33.54,72.44,7.45,58.38,Cotton
35.95,65.2,21.02,33.47,63.7,6.28,100.56,Pigeonpea
27.91,69.2,28.7,28.96,64.84,6.94,85.24,Blackgram
35.02,49.02,19.33,26.98,61.45,6.71,91.97,Groundnut
32.83,26.42,39.76,37.17,59.09,6.09,121.33,Mango
78.98,32.89,31.14,31.62,79.72,7.78,171.16,Sugarcane
11.32,71.15,22.65,36.2,62.79,6.04,167.35,Pigeonpea
80.12,53.23,40.83,26.03,82.61,6.58,284.35,Rice
64.45,27.62,43.58,16.36,68.22,6.25,257.1,Cardamom
74.29,40.26,26.55,32.01,63.67,7.41,58.2,Millet
