Crop,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Coconut,Whole Year,Virudhunagar,34035,962.4,3401672,4558,7.31
Sugarcane,Whole Year,Namakkal,19919,1071.8,2463402,11082,58.83
Papaya,Whole Year,Palani,4445,1378.4,976359,777,35.07
Banana,Whole Year,Kodaikanal,10792,1118.4,3473211,4122,19.38
Millet,Kharif,Madurai,7961,788.1,1083004,2735,1.57
Sorghum,Rabi,Namakkal,18409,371.7,1664716,4078,1.2
Groundnut,Kharif,Namakkal,15457,679.7,1992346,4678,1.66
Sorghum,Rabi,Salem,24719,597.8,741271,5383,0.88
Rice,Kharif,Karur,71636,1297.4,6462948,21617,1.45
Pigeonpea,Kharif,Dindigul,6459,714.3,398734,2206,0.59
Pomegranate,Whole Year,Theni,458,636.0,544524,1493,7.46
Pigeonpea,Kharif,Namakkal,4476,965.6,248954,1191,0.82
Blackgram,Rabi,Virudhunagar,16408,847.3,598288,728,0.41
Tapioca,Whole Year,Attur,27992,1136.1,3307859,6813,36.68
Papaya,Whole Year,Madurai,1908,910.5,536096,2699,33.97
Turmeric,Kharif,Sivakasi,5111,977.8,1653877,5017,3.97
Papaya,Whole Year,Sivakasi,7459,1295.3,978080,4893,42.08
Tapioca,Whole Year,Madurai,21142,1034.3,980271,1604,24.05
Pigeonpea,Kharif,Madurai,7049,802.1,826901,783,0.72
Papaya,Whole Year,Namakkal,4640,847.6,1190330,4796,15.1
Coconut,Whole Year,Salem,26207,971.0,1565606,8403,4.11
Blackgram,Rabi,Dindigul,18214,766.5,1003938,4296,0.76
Pigeonpea,Kharif,Rajapalayam,3682,701.1,284644,1318,0.65
Groundnut,Kharif,Dindigul,45694,805.5,2625014,4939,1.86
Maize,Rabi,Karur,30049,882.8,692435,5876,3.29
Rice,Rabi,Virudhunagar,59900,837.3,2280939,15040,2.1
Greengram,Kharif,Namakkal,14468,443.1,1065090,1656,0.48
Sorghum,Kharif,Rajapalayam,6317,765.6,1149552,3215,1.3
Greengram,Kharif,Karur,11509,424.9,303487,1154,0.5
Papaya,Whole Year,Attur,767,870.9,302204,100,15.73
Mango,Whole Year,Sivakasi,923,743.0,1121270,1123,3.23
Chickpea,Rabi,Salem,9386,796.3,886752,1211,0.53
Millet,Kharif,Dindigul,8255,842.4,987348,3863,1.61
Chickpea,Rabi,Attur,9094,636.0,288609,1321,1.01
Millet,Kharif,Madurai,17042,788.6,1631224,4712,0.56
Tapioca,Whole Year,Dindigul,4429,863.7,417742,2181,22.53
Mango,Whole Year,Virudhunagar,7934,1018.0,1259204,804,7.56
Pomegranate,Whole Year,Virudhunagar,4870,619.8,394482,2286,7.57
Millet,Kharif,Kodaikanal,23220,661.9,1741899,1570,1.45
Tapioca,Whole Year,Salem,28331,729.8,2231560,7020,22.86
Sugarcane,Whole Year,Theni,71697,1365.8,9724275,12469,76.31
Papaya,Whole Year,Attur,662,831.8,244009,1003,21.58
Sorghum,Rabi,Madurai,15959,485.0,1064315,3494,0.48
Rice,Kharif,Salem,24897,809.6,2973366,5133,1.86
Sorghum,Rabi,Rajapalayam,9166,813.8,356227,424,1.21
Sugarcane,Whole Year,Theni,69660,1193.2,5692605,24129,74.76
Mango,Whole Year,Madurai,15608,620.4,1440693,4810,6.55
Chilli,Kharif,Palani,7544,903.7,921137,1597,1.22
